y,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
46.24,289.0 ,134.0 ,0.0 ,195.0 ,6.0 ,924.0 ,760 ,28.00 
13.62,181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,778 ,3.00 
15.34,218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,795 ,3.00 
65.2,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,91.00 
33.73,231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,779 ,28.00 
19.52,212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,800 ,3.00 
14.94,167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,747 ,3.00 
31.97,333.0 ,0.0 ,0.0 ,192.0 ,0.0 ,931.2 ,843 ,28.00 
41.89,277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,876 ,14.00 
30.14,400.0 ,0.0 ,0.0 ,187.0 ,0.0 ,1025.0 ,745 ,7.00 
50.7,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,926 ,28.00 
36.35,151.8 ,178.1 ,138.7 ,167.5 ,18.3 ,944.0 ,695 ,28.00 
45.08,212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,800 ,56.00 
43.7,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,365.00 
49.2,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,7.00 
44.61,142.0 ,167.0 ,130.0 ,174.0 ,11.0 ,883.0 ,785 ,28.00 
65.2,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,91.00 
12.37,181.9 ,272.8 ,0.0 ,185.7 ,0.0 ,1012.4 ,714 ,7.00 
27.77,181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,778 ,28.00 
26.86,153.0 ,239.0 ,0.0 ,200.0 ,6.0 ,1002.0 ,684 ,28.00 
29.45,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870 ,56.00 
18.29,154.8 ,183.4 ,0.0 ,193.3 ,9.1 ,1047.4 ,697 ,28.00 
37.17,272.8 ,105.1 ,81.8 ,209.7 ,9.0 ,904.0 ,680 ,28.00 
51.26,213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,772 ,56.00 
53.52,298.0 ,137.0 ,107.0 ,201.0 ,6.0 ,878.0 ,655 ,28.00 
26.86,152.6 ,238.7 ,0.0 ,200.0 ,6.3 ,1001.8 ,684 ,28.00 
53.66,167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,747 ,100.00 
68.1,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880 ,91.00 
30.12,304.8 ,0.0 ,99.6 ,196.0 ,9.8 ,959.4 ,705 ,28.00 
18.91,296.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1090.0 ,769 ,7.00 
37.42,382.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1047.0 ,739 ,28.00 
74.36,424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750 ,56.00 
10.73,170.3 ,155.5 ,0.0 ,185.7 ,0.0 ,1026.6 ,724 ,7.00 
13.22,339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781 ,3.00 
36.97,251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,758 ,56.00 
33.42,304.0 ,140.0 ,0.0 ,214.0 ,6.0 ,895.0 ,722 ,28.00 
21.02,251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,900 ,3.00 
27.63,254.0 ,0.0 ,0.0 ,198.0 ,0.0 ,968.0 ,863 ,180.00 
19.11,393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.0 ,758 ,3.00 
11.85,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830 ,3.00 
49.25,200.0 ,200.0 ,0.0 ,190.0 ,0.0 ,1145.0 ,660 ,28.00 
39.06,374.3 ,0.0 ,0.0 ,190.2 ,6.7 ,1013.2 ,730 ,28.00 
29.16,145.0 ,116.0 ,119.0 ,184.0 ,5.7 ,833.0 ,880 ,28.00 
36.94,397.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1040.0 ,734 ,28.00 
33.02,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,28.00 
43.25,200.0 ,133.0 ,0.0 ,192.0 ,0.0 ,965.4 ,806 ,90.00 
20.73,178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,747 ,3.00 
27.22,250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857 ,28.00 
39.42,266.0 ,112.0 ,87.0 ,178.0 ,10.0 ,910.0 ,745 ,28.00 
76.8,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,804 ,91.00 
35.85,172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856 ,56.00 
44.52,284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801 ,56.00 
15.53,148.1 ,0.0 ,182.1 ,181.4 ,15.0 ,838.9 ,884 ,28.00 
9.62,158.8 ,238.2 ,0.0 ,185.7 ,0.0 ,1040.6 ,734 ,7.00 
9.73,250.2 ,166.8 ,0.0 ,203.5 ,0.0 ,977.6 ,694 ,3.00 
52.12,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,180.00 
46.23,218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,795 ,100.00 
79.4,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,756 ,56.00 
12.18,152.0 ,0.0 ,112.0 ,184.0 ,8.0 ,992.0 ,816 ,28.00 
32.85,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780 ,56.00 
33.06,146.0 ,230.0 ,0.0 ,202.0 ,3.0 ,827.0 ,872 ,28.00 
61.92,525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613 ,180.00 
51.06,249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889 ,100.00 
50.51,522.0 ,0.0 ,0.0 ,146.0 ,0.0 ,896.0 ,896 ,7.00 
69.3,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,841 ,56.00 
17.2,193.5 ,290.2 ,0.0 ,185.7 ,0.0 ,998.2 ,704 ,7.00 
27.92,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,970.0 ,850 ,28.00 
15.03,212.0 ,141.3 ,0.0 ,203.5 ,0.0 ,973.4 ,750 ,7.00 
10.35,122.6 ,183.9 ,0.0 ,203.5 ,0.0 ,958.2 ,800 ,7.00 
28.63,237.0 ,92.0 ,71.0 ,247.0 ,6.0 ,853.0 ,695 ,28.00 
27.42,218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,793 ,3.00 
51.04,277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,876 ,56.00 
33.4,252.0 ,97.0 ,76.0 ,194.0 ,8.0 ,835.0 ,821 ,28.00 
37.23,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,90.00 
10.79,183.9 ,122.6 ,0.0 ,203.5 ,0.0 ,959.2 ,800 ,7.00 
31.35,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,758 ,56.00 
60.29,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,28.00 
48.4,525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613 ,14.00 
31.42,296.0 ,0.0 ,106.7 ,221.4 ,10.5 ,819.2 ,778 ,28.00 
43.58,251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,758 ,100.00 
72.3,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,782 ,56.00 
26.74,302.0 ,0.0 ,0.0 ,203.0 ,0.0 ,974.0 ,817 ,180.00 
53.77,173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,794 ,56.00 
25.75,220.8 ,147.2 ,0.0 ,185.7 ,0.0 ,1055.0 ,744 ,28.00 
25.12,359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801 ,3.00 
21.82,210.7 ,316.1 ,0.0 ,185.7 ,0.0 ,977.0 ,689 ,7.00 
29.59,213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,772 ,14.00 
56.5,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605 ,91.00 
39.4,160.0 ,128.0 ,122.0 ,182.0 ,6.4 ,824.0 ,879 ,28.00 
17.96,153.0 ,102.0 ,0.0 ,192.0 ,0.0 ,888.0 ,943 ,28.00 
13.52,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,3.00 
43.5,182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,781 ,56.00 
26.31,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,904 ,14.00 
36.84,387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845 ,7.00 
31.72,190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,799 ,56.00 
33.73,213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776 ,14.00 
29.65,251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,758 ,28.00 
31.18,322.2 ,0.0 ,115.6 ,196.0 ,10.4 ,817.9 ,813 ,28.00 
41.94,287.0 ,121.0 ,94.0 ,188.0 ,9.0 ,904.0 ,696 ,28.00 
39.42,266.2 ,112.3 ,87.5 ,177.9 ,10.4 ,909.7 ,745 ,28.00 
46.8,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,804 ,7.00 
79.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,91.00 
17.96,148.1 ,0.0 ,136.6 ,158.1 ,16.1 ,1001.8 ,830 ,28.00 
37.92,491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699 ,7.00 
21.54,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780 ,28.00 
9.74,155.0 ,0.0 ,143.0 ,193.0 ,9.0 ,877.0 ,868 ,28.00 
33.69,172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856 ,28.00 
59.2,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,894 ,91.00 
4.9,183.9 ,122.6 ,0.0 ,203.5 ,0.0 ,959.2 ,800 ,3.00 
42.13,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806 ,360.00 
42.55,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,904 ,56.00 
14.6,289.0 ,0.0 ,0.0 ,192.0 ,0.0 ,913.2 ,895 ,7.00 
14.99,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,970.0 ,850 ,7.00 
29.55,491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699 ,3.00 
12.79,192.0 ,288.0 ,0.0 ,192.0 ,0.0 ,929.8 ,716 ,3.00 
46.9,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,894 ,7.00 
44.7,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,807 ,360.00 
23.35,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,3.00 
31.97,376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762 ,28.00 
39.44,239.6 ,359.4 ,0.0 ,185.7 ,0.0 ,941.6 ,664 ,28.00 
77.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,56.00 
16.5,153.6 ,144.2 ,112.3 ,220.1 ,10.1 ,923.2 ,658 ,28.00 
23.85,436.0 ,0.0 ,0.0 ,218.0 ,0.0 ,838.4 ,720 ,28.00 
28.02,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,826 ,28.00 
65.2,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,91.00 
65.91,366.0 ,187.0 ,0.0 ,191.3 ,6.6 ,824.3 ,757 ,28.00 
20.42,236.0 ,157.0 ,0.0 ,192.0 ,0.0 ,972.6 ,749 ,7.00 
20.87,250.0 ,0.0 ,0.0 ,182.0 ,0.0 ,1100.0 ,820 ,28.00 
39.29,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,28.00 
57.23,475.0 ,0.0 ,59.0 ,142.0 ,1.9 ,1098.0 ,641 ,28.00 
17.28,102.0 ,153.0 ,0.0 ,192.0 ,0.0 ,887.0 ,942 ,28.00 
47.28,333.0 ,17.5 ,163.0 ,167.0 ,17.9 ,996.0 ,652 ,28.00 
56.7,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,993 ,28.00 
49.19,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,90.00 
58.52,475.0 ,0.0 ,0.0 ,162.0 ,9.5 ,1044.0 ,662 ,28.00 
48.28,277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,876 ,28.00 
18.13,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806 ,7.00 
66.9,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,841 ,28.00 
33.4,252.1 ,97.1 ,75.6 ,193.8 ,8.3 ,835.5 ,821 ,28.00 
7.72,108.3 ,162.4 ,0.0 ,203.5 ,0.0 ,938.2 ,849 ,7.00 
30.08,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,28.00 
9.56,203.5 ,305.3 ,0.0 ,203.5 ,0.0 ,963.4 ,630 ,3.00 
33.76,162.0 ,190.1 ,148.1 ,178.8 ,18.8 ,838.1 ,741 ,28.00 
55.64,277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,876 ,100.00 
37.43,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,28.00 
38.56,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,803 ,56.00 
40.15,213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776 ,28.00 
30.65,162.0 ,214.0 ,164.0 ,202.0 ,10.0 ,820.0 ,680 ,28.00 
34.24,178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,747 ,14.00 
37.27,194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,902 ,28.00 
39.7,212.0 ,141.3 ,0.0 ,203.5 ,0.0 ,973.4 ,750 ,90.00 
24.13,284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801 ,7.00 
39.38,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1025.0 ,821 ,120.00 
32.77,159.1 ,186.7 ,0.0 ,175.6 ,11.3 ,989.6 ,789 ,28.00 
37.72,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,90.00 
28.99,155.2 ,183.9 ,143.2 ,193.8 ,9.2 ,879.6 ,699 ,28.00 
40.93,313.3 ,145.0 ,0.0 ,178.5 ,8.0 ,867.2 ,824 ,28.00 
24.1,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,756 ,3.00 
44.03,355.0 ,19.0 ,97.0 ,145.0 ,13.1 ,967.0 ,871 ,28.00 
35.34,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,759 ,100.00 
41.64,540.0 ,0.0 ,0.0 ,173.0 ,0.0 ,1125.0 ,613 ,3.00 
52.43,322.5 ,148.6 ,0.0 ,185.8 ,8.5 ,951.0 ,710 ,28.00 
10.54,145.4 ,0.0 ,178.9 ,201.7 ,7.8 ,824.0 ,869 ,28.00 
31.42,296.0 ,0.0 ,107.0 ,221.0 ,11.0 ,819.0 ,778 ,28.00 
21.16,339.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1069.0 ,754 ,7.00 
36.45,339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781 ,180.00 
35.34,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804 ,56.00 
42.42,525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613 ,7.00 
24.58,149.0 ,153.0 ,194.0 ,192.0 ,8.0 ,935.0 ,623 ,28.00 
61.8,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,804 ,28.00 
19.01,152.7 ,144.7 ,0.0 ,178.1 ,8.0 ,999.7 ,822 ,28.00 
12.47,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779 ,3.00 
40.93,284.0 ,119.7 ,0.0 ,168.3 ,7.2 ,970.4 ,794 ,28.00 
35.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,3.00 
26.91,238.2 ,158.8 ,0.0 ,185.7 ,0.0 ,1040.6 ,734 ,28.00 
36.8,313.0 ,0.0 ,113.0 ,178.0 ,8.0 ,1002.0 ,689 ,28.00 
12.46,155.0 ,0.0 ,143.0 ,193.0 ,9.0 ,1047.0 ,697 ,28.00 
12.18,151.6 ,0.0 ,111.9 ,184.4 ,7.9 ,992.0 ,816 ,28.00 
38.46,314.0 ,0.0 ,113.0 ,170.0 ,10.0 ,925.0 ,783 ,28.00 
17.54,238.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1118.0 ,789 ,28.00 
32.33,277.0 ,0.0 ,0.0 ,191.0 ,0.0 ,968.0 ,856 ,180.00 
13.57,236.0 ,157.0 ,0.0 ,192.0 ,0.0 ,972.6 ,749 ,3.00 
21.26,277.0 ,0.0 ,0.0 ,191.0 ,0.0 ,968.0 ,856 ,14.00 
24.54,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,758 ,28.00 
12.25,200.0 ,0.0 ,0.0 ,180.0 ,0.0 ,1125.0 ,845 ,28.00 
36.64,251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,758 ,56.00 
39.3,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,7.00 
35.23,139.7 ,163.9 ,127.7 ,236.7 ,5.8 ,868.6 ,656 ,28.00 
13.18,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,786 ,3.00 
12.54,307.0 ,0.0 ,0.0 ,193.0 ,0.0 ,968.0 ,812 ,3.00 
15.61,213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,772 ,3.00 
33.08,397.0 ,0.0 ,0.0 ,185.7 ,0.0 ,1040.6 ,734 ,28.00 
23.51,168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796 ,14.00 
64.9,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,804 ,56.00 
16.26,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,7.00 
30.28,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,7.00 
60.95,252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889 ,100.00 
74.5,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,756 ,28.00 
22.32,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,758 ,14.00 
8,186.2 ,124.1 ,0.0 ,185.7 ,0.0 ,1083.4 ,764 ,7.00 
15.04,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804 ,3.00 
13.46,150.7 ,0.0 ,185.3 ,166.7 ,15.6 ,1074.5 ,678 ,28.00 
30.44,200.0 ,133.0 ,0.0 ,192.0 ,0.0 ,965.4 ,806 ,28.00 
41.54,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,90.00 
67.7,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,804 ,28.00 
37.68,172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856 ,100.00 
39.59,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847 ,56.00 
18.42,236.0 ,0.0 ,0.0 ,194.0 ,0.0 ,968.0 ,885 ,28.00 
33.7,277.0 ,0.0 ,0.0 ,191.0 ,0.0 ,968.0 ,856 ,360.00 
61.46,387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845 ,56.00 
52.91,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,90.00 
34.9,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,926 ,7.00 
23.89,167.0 ,187.0 ,195.0 ,185.0 ,7.0 ,898.0 ,636 ,28.00 
21.95,236.0 ,0.0 ,0.0 ,194.0 ,0.0 ,968.0 ,885 ,90.00 
32.72,145.9 ,230.5 ,0.0 ,202.5 ,3.4 ,827.0 ,872 ,28.00 
21.91,297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,754 ,3.00 
47.22,500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613 ,90.00 
45.3,310.0 ,143.0 ,0.0 ,168.0 ,10.0 ,914.0 ,804 ,28.00 
26.05,218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,795 ,14.00 
41.37,516.0 ,0.0 ,0.0 ,162.0 ,8.3 ,801.0 ,802 ,28.00 
71.7,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,708 ,56.00 
75.5,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852 ,91.00 
